,2021 National Employment Matrix title,2021 National Employment Matrix code,Less than high school diploma,High school diploma or equivalent,"Some college, no degree",Associate's degree,Bachelor's degree,Master's degree,Doctoral or professional degree
640,Automotive body and related repairers,49-3021,22.2,47.2,18.7,8.7,2.7,0.4,0.1
641,Automotive glass installers and repairers,49-3022,16.4,50.7,26.8,3.4,2.3,0.1,0.3
642,Automotive service technicians and mechanics,49-3023,16.4,43.5,23.2,12.5,4.0,0.4,0.2
643,Bus and truck mechanics and diesel engine specialists,49-3031,13.4,46.6,23.0,13.6,3.1,0.4,0.1
644,Farm equipment mechanics and service technicians(1),49-3041,12.0,47.3,23.4,13.1,3.3,0.6,0.2
645,"Mobile heavy equipment mechanics, except engines(1)",49-3042,12.0,47.3,23.4,13.1,3.3,0.6,0.2
646,Rail car repairers(1),49-3043,12.0,47.3,23.4,13.1,3.3,0.6,0.2
647,Motorboat mechanics and service technicians(1),49-3051,13.6,44.2,27.0,9.7,3.9,0.6,1.0
648,Motorcycle mechanics(1),49-3052,13.6,44.2,27.0,9.7,3.9,0.6,1.0
649,Outdoor power equipment and other small engine mechanics(1),49-3053,13.6,44.2,27.0,9.7,3.9,0.6,1.0
650,Bicycle repairers(1),49-3091,20.7,47.0,19.9,5.7,5.6,1.0,0.1
651,Recreational vehicle service technicians(1),49-3092,20.7,47.0,19.9,5.7,5.6,1.0,0.1
652,Tire repairers and changers(1),49-3093,20.7,47.0,19.9,5.7,5.6,1.0,0.1
653,Mechanical door repairers(1),49-9011,4.0,40.9,31.9,16.9,5.8,0.5,0.1
654,"Control and valve installers and repairers, except mechanical door(1)",49-9012,4.0,40.9,31.9,16.9,5.8,0.5,0.1
655,"Heating, air conditioning, and refrigeration mechanics and installers",49-9021,10.6,40.1,29.1,14.4,4.8,0.9,0.2
656,Home appliance repairers,49-9031,13.7,38.6,29.0,10.6,6.8,0.6,0.7
657,Industrial machinery mechanics(1),49-9041,9.3,42.5,26.8,14.5,5.9,0.9,0.2
658,"Maintenance workers, machinery",49-9043,10.1,46.5,24.0,10.5,7.6,0.7,0.5
659,Millwrights,49-9044,7.0,45.5,27.9,13.1,5.2,1.1,0.2
660,"Refractory materials repairers, except brickmasons(1)",49-9045,9.3,42.5,26.8,14.5,5.9,0.9,0.2
661,Electrical power-line installers and repairers,49-9051,5.3,38.8,32.4,17.0,5.3,0.8,0.3
662,Telecommunications line installers and repairers,49-9052,5.8,38.3,31.8,12.8,9.6,1.5,0.2
663,Camera and photographic equipment repairers(1),49-9061,3.5,25.1,27.4,20.4,19.4,3.7,0.6
664,Medical equipment repairers(1),49-9062,3.5,25.1,27.4,20.4,19.4,3.7,0.6
665,Musical instrument repairers and tuners(1),49-9063,3.5,25.1,27.4,20.4,19.4,3.7,0.6
666,Watch and clock repairers(1),49-9064,3.5,25.1,27.4,20.4,19.4,3.7,0.6
667,"Precision instrument and equipment repairers, all other(1)",49-9069,3.5,25.1,27.4,20.4,19.4,3.7,0.6
668,"Maintenance and repair workers, general",49-9071,11.6,41.2,26.4,12.1,7.4,1.0,0.2
669,Wind turbine service technicians(1),49-9081,13.1,39.6,26.6,9.8,9.3,1.3,0.2
670,"Coin, vending, and amusement machine servicers and repairers",49-9091,9.1,41.9,30.0,10.0,7.3,1.1,0.7
671,Commercial divers(1),49-9092,13.1,39.6,26.6,9.8,9.3,1.3,0.2
672,Locksmiths and safe repairers,49-9094,5.5,43.1,29.2,9.2,11.7,1.1,0.2
673,Manufactured building and mobile home installers(1),49-9095,13.1,39.6,26.6,9.8,9.3,1.3,0.2
674,Riggers,49-9096,6.8,45.2,25.9,9.6,12.1,0.5,0.0
675,Signal and track switch repairers(1),49-9097,13.1,39.6,26.6,9.8,9.3,1.3,0.2
676,"Helpers--installation, maintenance, and repair workers",49-9098,33.9,43.8,14.8,3.7,2.7,0.3,0.8
677,"Installation, maintenance, and repair workers, all other(1)",49-9099,13.1,39.6,26.6,9.8,9.3,1.3,0.2
678,First-line supervisors of production and operating workers,51-1011,10.0,38.5,25.6,9.1,13.2,3.1,0.6
679,"Aircraft structure, surfaces, rigging, and systems assemblers(1)",51-2011,16.4,46.1,23.0,7.6,5.9,0.8,0.2
680,"Coil winders, tapers, and finishers(1)",51-2021,17.7,45.0,21.0,7.5,7.2,1.1,0.5
681,"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers(1)",51-2028,17.7,45.0,21.0,7.5,7.2,1.1,0.5
682,Engine and other machine assemblers,51-2031,13.0,46.4,31.2,5.2,4.2,0.0,0.0
683,Structural metal fabricators and fitters,51-2041,13.3,47.3,24.3,9.2,5.1,0.7,0.0
684,Fiberglass laminators and fabricators(1),51-2051,16.4,46.1,23.0,7.6,5.9,0.8,0.2
685,Timing device assemblers and adjusters(1),51-2061,16.4,46.1,23.0,7.6,5.9,0.8,0.2
686,Miscellaneous assemblers and fabricators(1),51-2090,16.4,46.1,23.0,7.6,5.9,0.8,0.2
687,Bakers,51-3011,20.4,37.9,20.3,8.6,10.8,1.5,0.5
688,Butchers and meat cutters(1),51-3021,29.5,43.7,17.8,4.5,3.8,0.6,0.1
689,"Meat, poultry, and fish cutters and trimmers(1)",51-3022,29.5,43.7,17.8,4.5,3.8,0.6,0.1
690,Slaughterers and meat packers(1),51-3023,29.5,43.7,17.8,4.5,3.8,0.6,0.1
691,"Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,14.1,45.8,19.7,4.2,13.8,1.9,0.5
692,Food batchmakers,51-3092,19.5,40.8,22.3,8.0,7.0,1.7,0.7
693,Food cooking machine operators and tenders,51-3093,23.5,43.4,20.6,5.5,6.1,0.8,0.0
694,"Food processing workers, all other",51-3099,25.4,43.5,20.6,5.0,4.8,0.5,0.2
695,"Extruding and drawing machine setters, operators, and tenders, metal and plastic(1)",51-4021,12.9,50.3,23.8,7.4,3.9,1.7,0.0
696,"Forging machine setters, operators, and tenders, metal and plastic(1)",51-4022,12.9,50.3,23.8,7.4,3.9,1.7,0.0
697,"Rolling machine setters, operators, and tenders, metal and plastic(1)",51-4023,12.9,50.3,23.8,7.4,3.9,1.7,0.0
698,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,17.3,52.0,20.1,6.8,3.2,0.4,0.3
699,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic(1)",51-4032,19.2,52.0,22.2,3.6,0.8,2.2,0.0
700,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,22.6,50.6,17.4,5.1,3.7,0.4,0.2
701,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic(1)",51-4034,19.2,52.0,22.2,3.6,0.8,2.2,0.0
702,"Milling and planing machine setters, operators, and tenders, metal and plastic(1)",51-4035,19.2,52.0,22.2,3.6,0.8,2.2,0.0
703,Machinists,51-4041,9.7,44.6,28.5,12.7,4.2,0.3,0.2
704,Metal-refining furnace operators and tenders(1),51-4051,12.9,45.6,27.6,6.1,7.5,0.4,0.0
705,"Pourers and casters, metal(1)",51-4052,12.9,45.6,27.6,6.1,7.5,0.4,0.0
706,"Model makers, metal and plastic(1)",51-4061,14.6,46.2,24.0,8.6,5.3,1.2,0.1
707,"Patternmakers, metal and plastic(1)",51-4062,14.6,46.2,24.0,8.6,5.3,1.2,0.1
708,Foundry mold and coremakers(1),51-4071,14.6,46.2,24.0,8.6,5.3,1.2,0.1
709,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic(1)",51-4072,14.6,46.2,24.0,8.6,5.3,1.2,0.1
710,"Multiple machine tool setters, operators, and tenders, metal and plastic(1)",51-4081,18.5,48.2,21.1,6.6,4.8,0.7,0.1
711,Tool and die makers,51-4111,5.5,40.3,36.0,13.8,3.2,0.7,0.5
712,"Welders, cutters, solderers, and brazers(1)",51-4121,18.6,46.3,23.4,8.7,2.5,0.4,0.2
713,"Welding, soldering, and brazing machine setters, operators, and tenders(1)",51-4122,18.6,46.3,23.4,8.7,2.5,0.4,0.2
714,"Heat treating equipment setters, operators, and tenders, metal and plastic(1)",51-4191,18.5,48.2,21.1,6.6,4.8,0.7,0.1
715,"Layout workers, metal and plastic(1)",51-4192,18.5,48.2,21.1,6.6,4.8,0.7,0.1
716,"Plating machine setters, operators, and tenders, metal and plastic(1)",51-4193,18.5,48.2,21.1,6.6,4.8,0.7,0.1
717,"Tool grinders, filers, and sharpeners(1)",51-4194,18.5,48.2,21.1,6.6,4.8,0.7,0.1
718,"Metal workers and plastic workers, all other(1)",51-4199,18.5,48.2,21.1,6.6,4.8,0.7,0.1
719,Prepress technicians and workers,51-5111,4.9,38.1,23.7,14.8,15.8,2.1,0.6
720,Printing press operators,51-5112,12.0,45.1,23.8,9.0,8.7,0.9,0.5
721,Print binding and finishing workers,51-5113,15.7,43.0,23.0,10.5,7.6,0.2,0.0
722,Laundry and dry-cleaning workers,51-6011,35.0,43.4,13.2,2.9,4.8,0.5,0.1
723,"Pressers, textile, garment, and related materials",51-6021,42.1,38.6,12.6,3.9,1.7,1.1,0.0
724,Sewing machine operators,51-6031,37.1,36.5,13.1,5.2,6.4,1.3,0.4
725,Shoe and leather workers and repairers(1),51-6041,30.2,36.7,17.7,6.7,7.3,1.1,0.2
726,Shoe machine operators and tenders(1),51-6042,30.2,36.7,17.7,6.7,7.3,1.1,0.2
727,"Sewers, hand(1)",51-6051,24.7,32.1,17.5,7.0,15.7,2.5,0.4
728,"Tailors, dressmakers, and custom sewers(1)",51-6052,24.7,32.1,17.5,7.0,15.7,2.5,0.4
729,Textile bleaching and dyeing machine operators and tenders(1),51-6061,27.2,45.0,15.4,5.6,3.4,3.4,0.0
730,"Textile cutting machine setters, operators, and tenders(1)",51-6062,27.2,45.0,15.4,5.6,3.4,3.4,0.0
731,"Textile knitting and weaving machine setters, operators, and tenders(1)",51-6063,27.2,45.0,15.4,5.6,3.4,3.4,0.0
732,"Textile winding, twisting, and drawing out machine setters, operators, and tenders(1)",51-6064,27.2,45.0,15.4,5.6,3.4,3.4,0.0
733,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers(1)",51-6091,24.2,35.3,19.5,8.5,10.0,2.3,0.2
734,Fabric and apparel patternmakers(1),51-6092,24.2,35.3,19.5,8.5,10.0,2.3,0.2
735,Upholsterers,51-6093,33.5,38.8,15.9,6.9,3.8,1.1,0.1
736,"Textile, apparel, and furnishings workers, all other(1)",51-6099,24.2,35.3,19.5,8.5,10.0,2.3,0.2
737,Cabinetmakers and bench carpenters,51-7011,17.7,47.0,18.3,8.2,6.9,1.2,0.7
738,Furniture finishers,51-7021,28.9,36.0,21.7,6.1,4.5,2.3,0.6
739,"Model makers, wood(1)",51-7031,16.0,35.8,21.7,8.3,14.0,3.7,0.5
740,"Patternmakers, wood(1)",51-7032,16.0,35.8,21.7,8.3,14.0,3.7,0.5
741,"Sawing machine setters, operators, and tenders, wood",51-7041,34.4,44.7,11.8,4.4,2.4,2.1,0.1
742,"Woodworking machine setters, operators, and tenders, except sawing",51-7042,22.5,47.9,21.0,5.2,3.3,0.1,0.0
743,"Woodworkers, all other(1)",51-7099,16.0,35.8,21.7,8.3,14.0,3.7,0.5
744,Nuclear power reactor operators(1),51-8011,1.9,30.3,30.3,18.2,16.3,2.5,0.5
745,Power distributors and dispatchers(1),51-8012,1.9,30.3,30.3,18.2,16.3,2.5,0.5
746,Power plant operators(1),51-8013,1.9,30.3,30.3,18.2,16.3,2.5,0.5
747,Stationary engineers and boiler operators,51-8021,6.7,34.7,26.0,10.6,15.2,5.6,1.1
748,Water and wastewater treatment plant and system operators,51-8031,3.0,36.6,31.1,13.3,13.4,2.4,0.2
749,Chemical plant and system operators(1),51-8091,9.2,33.9,33.7,11.2,11.1,0.6,0.3
750,Gas plant operators(1),51-8092,9.2,33.9,33.7,11.2,11.1,0.6,0.3
751,"Petroleum pump system operators, refinery operators, and gaugers(1)",51-8093,9.2,33.9,33.7,11.2,11.1,0.6,0.3
752,"Plant and system operators, all other(1)",51-8099,9.2,33.9,33.7,11.2,11.1,0.6,0.3
753,Chemical equipment operators and tenders(1),51-9011,5.1,32.4,25.7,9.6,22.5,4.2,0.5
754,"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders(1)",51-9012,5.1,32.4,25.7,9.6,22.5,4.2,0.5
755,"Crushing, grinding, and polishing machine setters, operators, and tenders(1)",51-9021,18.7,46.1,20.5,8.8,4.8,0.8,0.2
756,"Grinding and polishing workers, hand(1)",51-9022,18.7,46.1,20.5,8.8,4.8,0.8,0.2
757,"Mixing and blending machine setters, operators, and tenders(1)",51-9023,18.7,46.1,20.5,8.8,4.8,0.8,0.2
758,"Cutters and trimmers, hand(1)",51-9031,31.2,44.3,16.8,3.9,3.0,0.8,0.1
759,"Cutting and slicing machine setters, operators, and tenders(1)",51-9032,31.2,44.3,16.8,3.9,3.0,0.8,0.1
760,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,16.6,52.2,17.8,6.4,4.5,2.0,0.5
761,"Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,7.5,45.5,29.1,8.3,9.4,0.2,0.0
762,"Inspectors, testers, sorters, samplers, and weighers",51-9061,9.0,36.3,26.0,11.4,13.6,3.1,0.7
763,Jewelers and precious stone and metal workers,51-9071,12.5,25.9,24.0,7.7,22.0,5.2,2.7
764,Dental laboratory technicians(1),51-9081,4.9,26.0,34.7,16.9,14.4,2.2,0.8
765,Medical appliance technicians(1),51-9082,4.9,26.0,34.7,16.9,14.4,2.2,0.8
766,Ophthalmic laboratory technicians(1),51-9083,4.9,26.0,34.7,16.9,14.4,2.2,0.8
767,Packaging and filling machine operators and tenders,51-9111,32.6,41.0,15.5,4.8,5.0,0.9,0.2
768,"Painting, coating, and decorating workers(1)",51-9123,20.5,48.0,20.0,6.7,3.9,0.8,0.1
769,"Coating, painting, and spraying machine setters, operators, and tenders(1)",51-9124,20.5,48.0,20.0,6.7,3.9,0.8,0.1
770,Semiconductor processing technicians(1),51-9141,17.8,45.8,21.4,7.0,6.6,1.2,0.3
771,Photographic process workers and processing machine operators,51-9151,4.0,18.1,20.2,8.6,39.8,8.3,1.0
772,Computer numerically controlled tool operators(1),51-9161,9.0,38.0,30.1,14.1,7.6,0.9,0.3
773,Computer numerically controlled tool programmers(1),51-9162,9.0,38.0,30.1,14.1,7.6,0.9,0.3
774,Adhesive bonding machine operators and tenders,51-9191,18.7,43.3,21.8,12.8,1.5,1.9,0.0
775,"Cleaning, washing, and metal pickling equipment operators and tenders(1)",51-9192,17.8,45.8,21.4,7.0,6.6,1.2,0.3
776,Cooling and freezing equipment operators and tenders(1),51-9193,17.8,45.8,21.4,7.0,6.6,1.2,0.3
777,Etchers and engravers,51-9194,13.3,28.1,24.1,8.6,23.8,2.1,0.0
778,"Molders, shapers, and casters, except metal and plastic",51-9195,22.5,30.3,19.7,7.3,15.5,3.4,1.3
779,"Paper goods machine setters, operators, and tenders",51-9196,16.2,46.8,21.1,11.0,4.9,0.2,0.0
780,Tire builders,51-9197,5.3,51.4,31.7,6.7,4.4,0.5,0.0
781,Helpers--production workers,51-9198,24.4,46.7,15.6,4.5,6.3,1.8,0.7
782,"Production workers, all other(1)",51-9199,17.8,45.8,21.4,7.0,6.6,1.2,0.3
783,Aircraft cargo handling supervisors(1),53-1041,7.0,35.6,29.6,10.8,13.5,2.9,0.5
784,"First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors(1)",53-1047,7.0,35.6,29.6,10.8,13.5,2.9,0.5
785,"Airline pilots, copilots, and flight engineers(1)",53-2011,0.6,4.6,13.0,7.2,57.2,14.6,2.7
786,Commercial pilots(1),53-2012,0.6,4.6,13.0,7.2,57.2,14.6,2.7
787,Air traffic controllers(1),53-2021,0.3,12.6,31.1,14.1,34.7,6.6,0.6
788,Airfield operations specialists(1),53-2022,0.3,12.6,31.1,14.1,34.7,6.6,0.6
789,Flight attendants,53-2031,0.6,14.1,31.9,11.1,36.0,5.0,1.2
790,"Ambulance drivers and attendants, except emergency medical technicians",53-3011,3.4,50.2,26.9,9.0,9.0,1.4,0.0
791,Driver/sales workers(1),53-3031,15.6,47.4,23.1,6.6,6.1,1.0,0.2
792,Heavy and tractor-trailer truck drivers(1),53-3032,15.6,47.4,23.1,6.6,6.1,1.0,0.2
793,Light truck drivers(1),53-3033,15.6,47.4,23.1,6.6,6.1,1.0,0.2
794,"Bus drivers, school",53-3051,7.7,43.2,29.4,9.3,8.0,2.0,0.5
795,"Bus drivers, transit and intercity",53-3052,8.5,42.3,28.8,9.2,9.0,1.8,0.3
796,Shuttle drivers and chauffeurs,53-3053,11.9,36.8,25.0,7.9,13.6,3.6,1.1
797,Taxi drivers,53-3054,12.3,31.3,25.6,8.5,17.3,3.9,1.1
798,"Motor vehicle operators, all other",53-3099,11.6,37.9,27.1,9.1,11.2,2.5,0.5
799,Locomotive engineers(1),53-4011,1.6,37.6,36.5,10.3,11.8,1.8,0.3
800,"Rail yard engineers, dinkey operators, and hostlers(1)",53-4013,1.6,37.6,36.5,10.3,11.8,1.8,0.3
801,"Railroad brake, signal, and switch operators and locomotive firers(1)",53-4022,3.1,37.7,33.0,11.0,12.5,2.7,0.1
802,Railroad conductors and yardmasters,53-4031,2.2,39.4,34.6,10.6,12.0,1.2,0.0
803,Subway and streetcar operators(1),53-4041,3.1,37.7,33.0,11.0,12.5,2.7,0.1
804,"Rail transportation workers, all other(1)",53-4099,3.1,37.7,33.0,11.0,12.5,2.7,0.1
805,Sailors and marine oilers(1),53-5011,7.2,43.7,24.7,6.1,14.4,3.7,0.3
806,"Captains, mates, and pilots of water vessels(1)",53-5021,10.1,32.8,29.0,6.5,15.9,4.6,1.1
807,Motorboat operators(1),53-5022,10.1,32.8,29.0,6.5,15.9,4.6,1.1
808,Ship engineers(1),53-5031,7.2,43.7,24.7,6.1,14.4,3.7,0.3
809,Bridge and lock tenders(1),53-6011,3.9,39.1,25.2,13.2,15.5,2.8,0.3
810,Parking attendants,53-6021,14.2,42.2,23.9,8.2,9.1,1.5,0.8
811,Automotive and watercraft service attendants(1),53-6031,14.2,46.6,24.8,8.6,4.8,0.9,0.0
812,Aircraft service attendants(1),53-6032,14.2,46.6,24.8,8.6,4.8,0.9,0.0
813,Traffic technicians(1),53-6041,3.9,39.1,25.2,13.2,15.5,2.8,0.3
814,Transportation inspectors,53-6051,5.8,27.9,30.6,14.1,17.9,3.0,0.7
815,Passenger attendants,53-6061,12.4,42.9,24.9,9.2,7.7,2.7,0.2
816,"Transportation workers, all other(1)",53-6099,3.9,39.1,25.2,13.2,15.5,2.8,0.3
817,Conveyor operators and tenders(1),53-7011,16.4,57.7,20.1,2.9,2.2,0.7,0.0
818,Crane and tower operators,53-7021,10.6,55.9,22.6,6.2,3.9,0.7,0.1
819,Dredge operators(1),53-7031,16.4,57.7,20.1,2.9,2.2,0.7,0.0
820,Hoist and winch operators(1),53-7041,16.4,57.7,20.1,2.9,2.2,0.7,0.0
821,Industrial truck and tractor operators,53-7051,19.6,50.8,20.5,5.4,3.1,0.4,0.2
822,Cleaners of vehicles and equipment,53-7061,29.2,43.2,16.7,5.1,4.8,0.8,0.2
823,"Laborers and freight, stock, and material movers, hand",53-7062,17.1,47.4,21.4,6.5,6.4,0.9,0.2
824,Machine feeders and offbearers,53-7063,17.6,49.5,16.5,6.6,8.6,1.0,0.3
825,"Packers and packagers, hand",53-7064,30.5,41.0,16.6,5.5,5.3,0.8,0.4
826,Stockers and order fillers,53-7065,12.7,43.0,24.7,8.3,9.5,1.5,0.4
827,Gas compressor and gas pumping station operators(1),53-7071,14.0,43.8,22.3,7.7,10.0,2.2,0.0
828,"Pump operators, except wellhead pumpers(1)",53-7072,14.0,43.8,22.3,7.7,10.0,2.2,0.0
829,Wellhead pumpers(1),53-7073,14.0,43.8,22.3,7.7,10.0,2.2,0.0
830,Refuse and recyclable material collectors,53-7081,23.3,46.9,18.0,5.0,6.3,0.3,0.1
831,"Tank car, truck, and ship loaders(1)",53-7121,19.8,48.2,19.1,6.2,5.7,0.8,0.1
832,"Material moving workers, all other(1)",53-7199,19.8,48.2,19.1,6.2,5.7,0.8,0.1
